,title,year,kind,genre,rating,vote,country,language,director,runtime
1670,Love Potion No. 9,1992.0,0,4,2,0.0055530238229270995,8,2,672,0.055624227441285534
1672,Between Strangers,2002.0,0,7,2,0.0004301237732943094,0,2,943,0.05624227441285537
1673,Transfixed,2001.0,0,7,2,0.00014743619424535822,1,0,1048,0.054388133498145856
1675,The Son of the Sheik,1926.0,0,1,1,0.0007826709264760475,8,2,1150,0.10259579728059331
1676,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973.0,0,0,1,0.0016274843811050974,6,4,1944,0.08529048207663781
1677,Ginger Snaps Back: The Beginning,2004.0,0,7,2,0.004254935457064387,0,0,1220,0.05747836835599505
1679,Raining Stones,1993.0,0,7,1,0.0017773575372388086,7,2,1934,0.08529048207663781
1680,Freeze Me,2000.0,0,7,1,0.0007132175126579862,6,0,3350,0.06118665018541409
1682,Cardcaptor Sakura: The Sealed Card,2000.0,0,2,1,0.0006254868846772771,6,4,2490,0.07292954264524103
1683,Tenchi the Movie - Tenchi Muyo in Love,1996.0,0,2,1,0.0005694367612451575,6,4,1333,0.03399258343634116
1684,Desperate Souls,2005.0,0,0,0,0.00011291256749369031,0,2,492,0.11372064276885041
1685,Sesame Street: Sing Along,1987.0,0,10,1,3.6554428325295423e-06,8,0,1775,0.019159456118665017
1686,Swept from the Sea,1997.0,0,7,1,0.001372009543142755,7,2,280,0.05871446229913473
1688,Witchcraft XI: Sisters in Blood,2000.0,0,8,0,0.00010885096434643526,8,2,3027,0.0173053152039555
1689,Night and Fog,1956.0,0,6,4,0.007431515278532559,1,0,69,0.052533992583436336
1690,Jekyll & Hyde: The Musical,2001.0,0,8,1,0.0002445085094647538,8,2,888,0.07292954264524103
1691,American Pimp,1999.0,0,6,1,0.0009215777541121701,8,2,83,0.04079110012360939
1692,Shadowlands,1993.0,0,3,1,0.007347033933069654,7,2,2850,0.05809641532756489
1693,Animal Attraction,2004.0,0,4,0,4.0616031472550474e-06,8,2,1913,0.0519159456118665
1695,Sharpe's Siege,1996.0,1,0,1,0.0008399395308523437,7,0,3447,0.05129789864029666
1696,Fashion Victim: The Killing of Gianni Versace,2001.0,0,6,2,3.005586328968735e-05,9,2,1457,0.06365883807169344
1697,The Motorcycle Diaries,2004.0,0,1,1,0.04024845638772389,9,0,3574,0.052533992583436336
1698,Howard Hughes: The Real Aviator,2004.0,0,6,1,1.9901855421549728e-05,8,2,332,0.05933250927070457
1699,The Lottery,1996.0,0,7,2,0.00037772909269471935,8,2,702,0.027194066749072928
1700,Public Enemy Live from House of Blues,2001.0,0,6,1,6.90472535033358e-06,8,2,1953,0.054388133498145856
1701,The Russians Are Coming the Russians Are Coming,1966.0,0,4,1,0.0034592674005171236,8,0,2572,0.09579728059332508
1702,Charles Mingus: Triumph of the Underdog,1998.0,0,6,1,6.254868846772773e-05,8,2,884,0.05315203955500618
1703,Live Flesh,1997.0,0,7,1,0.012077176958362882,9,0,2676,0.05933250927070457
1704,"Aguirre, the Wrath of God",1972.0,0,0,1,0.022230778666185773,9,0,3585,0.030902348578491966
1706,"Comrades, Almost a Love Story",1996.0,0,7,4,0.0022728731212039244,3,0,2715,0.0630407911001236
1707,Love's a Bitch,2000.0,0,7,4,0.09420238643554521,9,0,89,0.05315203955500618
